variable,est,lo,hi,method,adj,miss_data,weight,seed,var,size
bmi,0.193044404881215,-0.0104532577051188,0.396542067467548,Complete case,Adjusted,MAR,Unweighted,1,,100
bmi,0.259183507847784,0.0496250572253642,0.468741958470204,Imputed,Adjusted,MAR,Unweighted,1,,100
bmi,0.175800317644249,-0.142563958382338,0.494164593670835,Imputed w/ PRS,Adjusted,MAR,Unweighted,1,,100
bmi,0.0745736849288978,-0.155487085846935,0.304634455704731,Complete case,Adjusted,MAR,Weighted,1,0.0131994268547731,100
bmi,0.21716376442367,-0.00334085223653033,0.437668381083871,Imputed,Adjusted,MAR,Weighted,1,0.0126572451347211,100
bmi,0.167797329285794,-0.0626052504605267,0.398199909032114,Imputed w/ PRS,Adjusted,MAR,Weighted,1,0.0138190596936212,100
bmi,0.0550955379709818,-0.160291153702958,0.270482229644921,Complete case,Unadjusted,MNAR,Unweighted,1,,100
bmi,0.0633980362518274,-0.493124928049877,0.619921000553532,Imputed,Unadjusted,MNAR,Unweighted,1,,100
bmi,-0.0596151243616146,-0.344606387281609,0.225376138558379,Imputed w/ PRS,Unadjusted,MNAR,Unweighted,1,,100
bmi,0.00185584671134125,-0.2195850960905,0.223296789513182,Complete case,Unadjusted,MNAR,Weighted,1,0.0122553725957335,100
bmi,0.0740201399268072,-0.224955490772417,0.372995770626031,Imputed,Unadjusted,MNAR,Weighted,1,0.0232688756860986,100
bmi,-0.00149954969398761,-0.251564768008064,0.248565668620088,Imputed w/ PRS,Unadjusted,MNAR,Weighted,1,0.0162783505770257,100
bmi,0.044329546489603,-0.186199786358379,0.274858879337585,Complete case,Adjusted,MNAR,Unweighted,1,,100
bmi,0.126179192352875,-0.485629789237083,0.737988173942833,Imputed,Adjusted,MNAR,Unweighted,1,,100
bmi,-0.0409733028564989,-0.304412274506385,0.222465668793387,Imputed w/ PRS,Adjusted,MNAR,Unweighted,1,,100
bmi,-0.0226755405516355,-0.234486832420819,0.189135751317548,Complete case,Adjusted,MNAR,Weighted,1,0.0111797460738609,100
bmi,0.124666325972015,-0.168725651433501,0.41805830337753,Imputed,Adjusted,MNAR,Weighted,1,0.0224078550425186,100
bmi,0.0307842868857901,-0.174635026261618,0.236203600033198,Imputed w/ PRS,Adjusted,MNAR,Weighted,1,0.010984653534911,100
bmi,0.199532120907475,0.193466547656916,0.205597694158035,Full,Unadjusted,,,2,,100
bmi,0.191317170133823,0.185494935396043,0.197139404871602,Full,Adjusted,,,2,,100
bmi,0.191943511533479,-0.0633394974174944,0.447226520484453,Complete case,Unadjusted,MCAR,Unweighted,2,,100
bmi,0.194667368665771,-0.0280531318277692,0.417387869159311,Imputed,Unadjusted,MCAR,Unweighted,2,,100
bmi,0.142931384159178,-0.0763138630451725,0.362176631363528,Imputed w/ PRS,Unadjusted,MCAR,Unweighted,2,,100
bmi,0.187146958496567,-0.0798009505168715,0.454094867510006,Complete case,Unadjusted,MCAR,Weighted,2,0.0179148160542666,100
bmi,0.19640166166419,-0.0250420829170081,0.417845406245389,Imputed,Unadjusted,MCAR,Weighted,2,0.0127652889964553,100
bmi,0.160181074872793,-0.0590574788808739,0.379419628626459,Imputed w/ PRS,Unadjusted,MCAR,Weighted,2,0.0125123151634655,100
bmi,0.142445011928764,-0.111093483338397,0.395983507195925,Complete case,Adjusted,MCAR,Unweighted,2,,100
bmi,0.143449690702033,-0.0647842616193148,0.35168364302338,Imputed,Adjusted,MCAR,Unweighted,2,,100
bmi,0.0909987311681405,-0.128998032887153,0.310995495223434,Imputed w/ PRS,Adjusted,MCAR,Unweighted,2,,100
bmi,0.117018814554211,-0.11688240698349,0.350920036091912,Complete case,Adjusted,MCAR,Weighted,2,0.0137245566875703,100
bmi,0.132406992015383,-0.0559022250420652,0.320716209072831,Imputed,Adjusted,MCAR,Weighted,2,0.00923096221616703,100
bmi,0.0794670834273008,-0.125779956823932,0.284714123678533,Imputed w/ PRS,Adjusted,MCAR,Weighted,2,0.0109662369162867,100
bmi,0.0150155470454987,-0.208784809395364,0.238815903486361,Complete case,Unadjusted,MAR,Unweighted,2,,100
bmi,-0.0320244096907846,-0.570508153907983,0.506459334526413,Imputed,Unadjusted,MAR,Unweighted,2,,100
bmi,-0.0116332065658116,-0.362932376401936,0.339665963270313,Imputed w/ PRS,Unadjusted,MAR,Unweighted,2,,100
bmi,-0.00211040722730919,-0.213354148915309,0.20913333446069,Complete case,Unadjusted,MAR,Weighted,2,0.0111109925986827,100
bmi,0.0816807690689236,-0.294176521572311,0.457538059710158,Imputed,Unadjusted,MAR,Weighted,2,0.0367747539468986,100
bmi,0.101909267033999,-0.166595620939568,0.370414155007566,Imputed w/ PRS,Unadjusted,MAR,Weighted,2,0.0187675771707663,100
bmi,0.0180032455821871,-0.196883306614218,0.232889797778592,Complete case,Adjusted,MAR,Unweighted,2,,100
bmi,-0.0437222208668706,-0.520862769725398,0.433418327991657,Imputed,Adjusted,MAR,Unweighted,2,,100
bmi,-0.00520027865369365,-0.339200147280361,0.328799589972974,Imputed w/ PRS,Adjusted,MAR,Unweighted,2,,100
bmi,0.0415491644363696,-0.145034845766974,0.228133174639714,Complete case,Adjusted,MAR,Weighted,2,0.00863776717637158,100
bmi,0.028870095459087,-0.308534026833868,0.366274217752042,Imputed,Adjusted,MAR,Weighted,2,0.0296349764644123,100
bmi,0.0583759946264367,-0.186094489787373,0.302846479040246,Imputed w/ PRS,Adjusted,MAR,Weighted,2,0.0155581044960215,100
bmi,-0.170464453176318,-0.424444008753598,0.0835151024009614,Complete case,Unadjusted,MNAR,Unweighted,2,,100
bmi,-0.271323103623314,-0.536453272883864,-0.00619293436276308,Imputed,Unadjusted,MNAR,Unweighted,2,,100
bmi,-0.314248137601968,-0.594271768529676,-0.0342245066742596,Imputed w/ PRS,Unadjusted,MNAR,Unweighted,2,,100
bmi,-0.15774840406446,-0.394360106975597,0.0788632988466765,Complete case,Unadjusted,MNAR,Weighted,2,0.0139722670378366,100
bmi,-0.150595882877647,-0.391131060248487,0.089939294493194,Imputed,Unadjusted,MNAR,Weighted,2,0.015061249971272,100
bmi,-0.200921981446576,-0.462831796585934,0.0609878336927824,Imputed w/ PRS,Unadjusted,MNAR,Weighted,2,0.0178569534305037,100
bmi,-0.206579255679878,-0.462454987575088,0.0492964762153323,Complete case,Adjusted,MNAR,Unweighted,2,,100
bmi,-0.222663311208652,-0.491780666847148,0.0464540444298433,Imputed,Adjusted,MNAR,Unweighted,2,,100
bmi,-0.266413974055038,-0.549976584878993,0.017148636768917,Imputed w/ PRS,Adjusted,MNAR,Unweighted,2,,100
bmi,-0.169366293325247,-0.394977397275484,0.0562448106249911,Complete case,Adjusted,MNAR,Weighted,2,0.0126632296397953,100
bmi,-0.159248066943511,-0.368734536315812,0.0502384024287904,Imputed,Adjusted,MNAR,Weighted,2,0.011423936295676,100
bmi,-0.196662927751629,-0.440201595441762,0.0468757399385042,Imputed w/ PRS,Adjusted,MNAR,Weighted,2,0.0154397288709106,100
bmi,0.199541188859013,0.193478750874138,0.205603626843888,Full,Unadjusted,,,3,,100
bmi,0.190886963959328,0.185064385027992,0.196709542890663,Full,Adjusted,,,3,,100
bmi,0.11105568278511,-0.0985104958033667,0.320621861373586,Complete case,Unadjusted,MCAR,Unweighted,3,,100
bmi,0.0643804520032552,-0.162963034382761,0.291723938389271,Imputed,Unadjusted,MCAR,Unweighted,3,,100
bmi,0.100095246065228,-0.143639910190664,0.343830402321119,Imputed w/ PRS,Unadjusted,MCAR,Unweighted,3,,100
bmi,0.123665699697038,-0.128833286848454,0.376164686242531,Complete case,Unadjusted,MCAR,Weighted,3,0.0160584512605148,100
bmi,0.111849406145165,-0.128444255273301,0.35214306756363,Imputed,Unadjusted,MCAR,Weighted,3,0.0150310198320592,100
bmi,0.144510454072415,-0.0961264713280558,0.385147379472886,Imputed w/ PRS,Unadjusted,MCAR,Weighted,3,0.0150739946903111,100
bmi,0.117105137303834,-0.102033516870689,0.336243791478357,Complete case,Adjusted,MCAR,Unweighted,3,,100
bmi,0.0704415894737008,-0.165009755680875,0.305892934628276,Imputed,Adjusted,MCAR,Unweighted,3,,100
bmi,0.120987789387689,-0.126707737556348,0.368683316331725,Imputed w/ PRS,Adjusted,MCAR,Unweighted,3,,100
bmi,0.14762662221934,-0.0952774478471641,0.390530692285845,Complete case,Adjusted,MCAR,Weighted,3,0.0148329963601098,100
bmi,0.128729015642162,-0.112304036472326,0.369762067756651,Imputed,Adjusted,MCAR,Weighted,3,0.0151236639316956,100
bmi,0.184434870644537,-0.0493428715146594,0.418212612803734,Imputed w/ PRS,Adjusted,MCAR,Weighted,3,0.0142268953749129,100
bmi,-0.0427792662518371,-0.2900570862527,0.204498553749026,Complete case,Unadjusted,MAR,Unweighted,3,,100
bmi,-0.188622271332113,-0.551564428625966,0.17431988596174,Imputed,Unadjusted,MAR,Unweighted,3,,100
bmi,-0.0916212617281472,-0.471597149895288,0.288354626438994,Imputed w/ PRS,Unadjusted,MAR,Unweighted,3,,100
bmi,0.0296704900736407,-0.252278188271409,0.31161916841869,Complete case,Unadjusted,MAR,Weighted,3,0.0197936224346139,100
bmi,-0.05799531475646,-0.392191466851749,0.276200837338829,Imputed,Unadjusted,MAR,Weighted,3,0.0290741286809152,100
bmi,0.0152131437575267,-0.332629928998793,0.363056216513846,Imputed w/ PRS,Unadjusted,MAR,Weighted,3,0.0314970975642777,100
bmi,-0.140124009216046,-0.384234751267986,0.103986732835894,Complete case,Adjusted,MAR,Unweighted,3,,100
bmi,-0.20893488268703,-0.5963924024961,0.178522637122039,Imputed,Adjusted,MAR,Unweighted,3,,100
bmi,-0.119170921125033,-0.579258722499916,0.340916880249851,Imputed w/ PRS,Adjusted,MAR,Unweighted,3,,100
bmi,0.0204862498112781,-0.289152110754878,0.330124610377435,Complete case,Adjusted,MAR,Weighted,3,0.0237882320588199,100
bmi,-0.0340991856557812,-0.376719861080078,0.308521489768516,Imputed,Adjusted,MAR,Weighted,3,0.0305584239497301,100
bmi,0.0471595232991389,-0.320799762698348,0.415118809296626,Imputed w/ PRS,Adjusted,MAR,Weighted,3,0.0352454737826177,100
bmi,-0.0769119003383348,-0.305702728612923,0.151878927936253,Complete case,Unadjusted,MNAR,Unweighted,3,,100
bmi,-0.157662246002643,-0.673809397241933,0.358484905236646,Imputed,Unadjusted,MNAR,Unweighted,3,,100
bmi,-0.156212353735299,-0.563229286155885,0.250804578685288,Imputed w/ PRS,Unadjusted,MNAR,Unweighted,3,,100
bmi,-0.0315162022560291,-0.317013802698833,0.253981398186775,Complete case,Unadjusted,MNAR,Weighted,3,0.0202606352159378,100
bmi,-0.0792424682435458,-0.461356341794435,0.302871405307344,Imputed,Unadjusted,MNAR,Weighted,3,0.0380092613705754,100
bmi,-0.0645294981407626,-0.419466363742336,0.290407367460811,Imputed w/ PRS,Unadjusted,MNAR,Weighted,3,0.0327948793527106,100
bmi,-0.152232218011917,-0.379607435449532,0.0751429994256974,Complete case,Adjusted,MNAR,Unweighted,3,,100
bmi,-0.171500010020683,-0.757565352346367,0.414565332305002,Imputed,Adjusted,MNAR,Unweighted,3,,100
bmi,-0.168524758687264,-0.661196771891303,0.324147254516774,Imputed w/ PRS,Adjusted,MNAR,Unweighted,3,,100
bmi,-0.0226789856332699,-0.347026025065273,0.301668053798733,Complete case,Adjusted,MNAR,Weighted,3,0.0260502163932389,100
bmi,-0.0256352927824385,-0.433184538966564,0.381913953401687,Imputed,Adjusted,MNAR,Weighted,3,0.0432378416164401,100
bmi,-0.0149155432854696,-0.402299005724464,0.372467919153525,Imputed w/ PRS,Adjusted,MNAR,Weighted,3,0.0390648329126454,100
bmi,0.207267419344517,0.201200926571806,0.213333912117228,Full,Unadjusted,,,4,,100
bmi,0.195358637682451,0.189539133150414,0.201178142214488,Full,Adjusted,,,4,,100
bmi,0.0847487976899976,-0.136061555172167,0.305559150552162,Complete case,Unadjusted,MCAR,Unweighted,4,,100
bmi,0.121655788395658,-0.11691268463615,0.360224261427465,Imputed,Unadjusted,MCAR,Unweighted,4,,100
bmi,0.07298104422724,-0.202081051948354,0.348043140402834,Imputed w/ PRS,Unadjusted,MCAR,Unweighted,4,,100
bmi,0.328772692443242,-0.142750927846452,0.800296312732936,Complete case,Unadjusted,MCAR,Weighted,4,0.0559218161505007,100
bmi,0.352808202650591,-0.0684873457462001,0.774103751047382,Imputed,Unadjusted,MCAR,Weighted,4,0.0462037854324524,100
bmi,0.33796975274979,-0.0921044961642575,0.768044001663837,Imputed w/ PRS,Unadjusted,MCAR,Weighted,4,0.048149379757131,100
bmi,0.051368456559598,-0.168596489469005,0.271333402588201,Complete case,Adjusted,MCAR,Unweighted,4,,100
bmi,0.0989221264071088,-0.146361886459667,0.344206139273885,Imputed,Adjusted,MCAR,Unweighted,4,,100
bmi,0.0600791425670268,-0.230895566888523,0.351053852022576,Imputed w/ PRS,Adjusted,MCAR,Unweighted,4,,100
bmi,0.205595189298742,-0.0424939783399884,0.453684356937473,Complete case,Adjusted,MCAR,Weighted,4,0.0154486628309193,100
bmi,0.246433782986038,-0.0117259992020066,0.504593565174083,Imputed,Adjusted,MCAR,Weighted,4,0.0173492613744422,100
bmi,0.229305338664584,-0.0285759742292698,0.487186651558438,Imputed w/ PRS,Adjusted,MCAR,Weighted,4,0.0173118532942756,100
bmi,-0.0312625788497011,-0.237780211474142,0.17525505377474,Complete case,Unadjusted,MAR,Unweighted,4,,100
bmi,-0.244507965809331,-0.541331931939718,0.0523160003210554,Imputed,Unadjusted,MAR,Unweighted,4,,100
bmi,0.00970025536528724,-0.361024276204821,0.380424786935395,Imputed w/ PRS,Unadjusted,MAR,Unweighted,4,,100
bmi,0.242366510721835,-0.204307053959933,0.689040075403603,Complete case,Unadjusted,MAR,Weighted,4,0.0497937616304381,100
bmi,0.153861805688534,-0.316175405434054,0.623899016811122,Imputed,Unadjusted,MAR,Weighted,4,0.0575133016263803,100
bmi,0.313922578367484,-0.103189610450167,0.731034767185135,Imputed w/ PRS,Unadjusted,MAR,Weighted,4,0.0452907570225664,100
bmi,-0.107474360177645,-0.306893485196946,0.0919447648416559,Complete case,Adjusted,MAR,Unweighted,4,,100
bmi,-0.245184862768299,-0.51180797653753,0.0214382510009311,Imputed,Adjusted,MAR,Unweighted,4,,100
bmi,-0.00022584556492394,-0.310528453986307,0.310076762856459,Imputed w/ PRS,Adjusted,MAR,Unweighted,4,,100
bmi,0.10512445781968,-0.121112474501448,0.331361390140808,Complete case,Adjusted,MAR,Weighted,4,0.0127335807876575,100
bmi,0.0790079120642649,-0.211817874391136,0.369833698519666,Imputed,Adjusted,MAR,Weighted,4,0.0220175829067249,100
bmi,0.228741651967492,-0.0251790096198059,0.482662313554791,Imputed w/ PRS,Adjusted,MAR,Weighted,4,0.0167841711678901,100
bmi,-0.0706405190735589,-0.286249419457658,0.14496838131054,Complete case,Unadjusted,MNAR,Unweighted,4,,100
bmi,-0.0963739222063814,-0.393376001820084,0.200628157407321,Imputed,Unadjusted,MNAR,Unweighted,4,,100
bmi,-0.15290808660817,-0.555616939906408,0.249800766690068,Imputed w/ PRS,Unadjusted,MNAR,Unweighted,4,,100
bmi,0.229710841421259,-0.242199581880381,0.701621264722899,Complete case,Unadjusted,MNAR,Weighted,4,0.0556194857111913,100
bmi,0.259503663938684,-0.198915580727641,0.71792290860501,Imputed,Unadjusted,MNAR,Weighted,4,0.054705312145575,100
bmi,0.252294810697196,-0.230087330480275,0.734676951874667,Imputed w/ PRS,Unadjusted,MNAR,Weighted,4,0.0605740009169006,100
bmi,-0.137276025255928,-0.338812037581928,0.0642599870700727,Complete case,Adjusted,MNAR,Unweighted,4,,100
bmi,-0.102841244938739,-0.376987081768462,0.171304591890984,Imputed,Adjusted,MNAR,Unweighted,4,,100
bmi,-0.152257772871043,-0.505080124952538,0.200564579210452,Imputed w/ PRS,Adjusted,MNAR,Unweighted,4,,100
bmi,0.0982341014897658,-0.142843804228284,0.339312007207816,Complete case,Adjusted,MNAR,Weighted,4,0.0144710477168002,100
bmi,0.166898439768598,-0.116445269291668,0.450242148828864,Imputed,Adjusted,MNAR,Weighted,4,0.0208992628091018,100
bmi,0.158714438388765,-0.12347902741344,0.440907904190971,Imputed w/ PRS,Adjusted,MNAR,Weighted,4,0.0207299247130993,100
bmi,0.207683404838263,0.20159580738878,0.213771002287747,Full,Unadjusted,,,5,,100
bmi,0.197793281285306,0.191951159560111,0.203635403010501,Full,Adjusted,,,5,,100
bmi,0.194443108337671,-0.0164003411213525,0.405286557796694,Complete case,Unadjusted,MCAR,Unweighted,5,,100
bmi,0.148394053714537,-0.0511364353722587,0.347924542801333,Imputed,Unadjusted,MCAR,Unweighted,5,,100
bmi,0.142046397518658,-0.0855221143226313,0.369614909359947,Imputed w/ PRS,Unadjusted,MCAR,Unweighted,5,,100
bmi,0.391700872419962,0.121283903592125,0.6621178412478,Complete case,Unadjusted,MCAR,Weighted,5,0.0184265771824488,100
bmi,0.284928468527357,0.00242634516276652,0.567430591891947,Imputed,Unadjusted,MCAR,Weighted,5,0.0207752974665706,100
bmi,0.298040448233019,0.0253816422428579,0.57069925422318,Imputed w/ PRS,Unadjusted,MCAR,Weighted,5,0.0193527584061273,100
bmi,0.164407619578937,-0.0451929548683207,0.374008194026196,Complete case,Adjusted,MCAR,Unweighted,5,,100
bmi,0.139032937316288,-0.0659598588157652,0.344025733448342,Imputed,Adjusted,MCAR,Unweighted,5,,100
bmi,0.138936439896352,-0.0784219104144449,0.356294790207149,Imputed w/ PRS,Adjusted,MCAR,Unweighted,5,,100
bmi,0.37886488357822,0.142273689216135,0.615456077940305,Complete case,Adjusted,MCAR,Weighted,5,0.014078990464595,100
bmi,0.280084363043311,0.0370199635890972,0.523148762497524,Imputed,Adjusted,MCAR,Weighted,5,0.0153796526371099,100
bmi,0.298899807264074,0.0688310864631287,0.528968528065019,Imputed w/ PRS,Adjusted,MCAR,Weighted,5,0.0137790404014845,100
bmi,0.079972748456809,-0.137625470311489,0.297570967225107,Complete case,Unadjusted,MAR,Unweighted,5,,100
bmi,0.066676611695889,-0.166849971031331,0.300203194423109,Imputed,Unadjusted,MAR,Unweighted,5,,100
bmi,0.0921903294302154,-0.286900394440802,0.471281053301233,Imputed w/ PRS,Unadjusted,MAR,Unweighted,5,,100
bmi,0.249537901796361,-0.0218140709107767,0.520889874503499,Complete case,Unadjusted,MAR,Weighted,5,0.0184024921976542,100
bmi,0.282886345157488,-0.00603007025207925,0.571802760567055,Imputed,Unadjusted,MAR,Weighted,5,0.0217294259783398,100
bmi,0.288886858432301,-0.00742184618968678,0.585195563054289,Imputed w/ PRS,Unadjusted,MAR,Weighted,5,0.0228556005759541,100
bmi,0.0750906673323763,-0.15106095381534,0.301242288480092,Complete case,Adjusted,MAR,Unweighted,5,,100
bmi,0.108357004765115,-0.126171178457037,0.342885187987268,Imputed,Adjusted,MAR,Unweighted,5,,100
bmi,0.125347794066301,-0.242419572420347,0.49311516055295,Imputed w/ PRS,Adjusted,MAR,Unweighted,5,,100
bmi,0.316088456461988,0.0430951297015322,0.589081783222444,Complete case,Adjusted,MAR,Weighted,5,0.0185711066190478,100
bmi,0.313141728833401,0.0750949100656656,0.551188547601137,Imputed,Adjusted,MAR,Weighted,5,0.0147512417991246,100
bmi,0.313250452466693,0.0532153835812864,0.5732855213521,Imputed w/ PRS,Adjusted,MAR,Weighted,5,0.0176022287902647,100
bmi,0.0308553936378369,-0.218808612530092,0.280519399805766,Complete case,Unadjusted,MNAR,Unweighted,5,,100
bmi,-0.0284648788003492,-0.418441245112975,0.361511487512277,Imputed,Unadjusted,MNAR,Unweighted,5,,100
bmi,-0.0213037420805001,-0.430533951882735,0.387926467721735,Imputed w/ PRS,Unadjusted,MNAR,Unweighted,5,,100
bmi,0.20847491909282,-0.0892463260276521,0.506196164213292,Complete case,Unadjusted,MNAR,Weighted,5,0.0219923835483578,100
bmi,0.166534493804077,-0.212104374035245,0.545173361643399,Imputed,Unadjusted,MNAR,Weighted,5,0.0373210800715386,100
bmi,0.179294592096188,-0.186626060032301,0.545215244224677,Imputed w/ PRS,Unadjusted,MNAR,Weighted,5,0.0348560091111283,100
bmi,0.00298743904121264,-0.279038425012921,0.285013303095347,Complete case,Adjusted,MNAR,Unweighted,5,,100
bmi,0.00595133691687428,-0.41841159046581,0.430314264299559,Imputed,Adjusted,MNAR,Unweighted,5,,100
bmi,0.00511312432245871,-0.465603202783805,0.475829451428723,Imputed w/ PRS,Adjusted,MNAR,Unweighted,5,,100
bmi,0.285757067172464,-0.0567991290409738,0.628313263385903,Complete case,Adjusted,MNAR,Weighted,5,0.0289947741891229,100
bmi,0.243070149071165,-0.0973920890208039,0.583532387163134,Imputed,Adjusted,MNAR,Weighted,5,0.0301746135978747,100
bmi,0.257049309482762,-0.0621019460841171,0.57620056504964,Imputed w/ PRS,Adjusted,MNAR,Weighted,5,0.0265153236528799,100
bmi,0.204229516534089,0.198142951076204,0.210316081991975,Full,Unadjusted,,,6,,100
bmi,0.195885078513048,0.190046964586369,0.201723192439726,Full,Adjusted,,,6,,100
bmi,0.0706211657066974,-0.120905256406357,0.262147587819751,Complete case,Unadjusted,MCAR,Unweighted,6,,100
bmi,0.0387133489306162,-0.143991081023288,0.221417778884521,Imputed,Unadjusted,MCAR,Unweighted,6,,100
bmi,0.0600733863158842,-0.118148255180703,0.238295027812471,Imputed w/ PRS,Unadjusted,MCAR,Unweighted,6,,100
bmi,0.215994212665113,0.0586934910379094,0.373294934292317,Complete case,Unadjusted,MCAR,Weighted,6,0.00625017533202837,100
bmi,0.101141253016903,-0.104283501604593,0.306566007638398,Imputed,Unadjusted,MCAR,Weighted,6,0.0109852355006311,100
bmi,0.157349835896876,-0.0256511627003891,0.34035083449414,Imputed w/ PRS,Unadjusted,MCAR,Weighted,6,0.00871787699693336,100
bmi,0.0759468008308721,-0.120674914387028,0.272568516048772,Complete case,Adjusted,MCAR,Unweighted,6,,100
bmi,0.0623506210249551,-0.121848414797215,0.246549656847125,Imputed,Adjusted,MCAR,Unweighted,6,,100
bmi,0.073422995291297,-0.106020100300681,0.252866090883275,Imputed w/ PRS,Adjusted,MCAR,Unweighted,6,,100
bmi,0.191942016945548,0.0355207278026846,0.348363306088411,Complete case,Adjusted,MCAR,Weighted,6,0.00617075390463053,100
bmi,0.130675809235563,-0.045832203413393,0.307183821884519,Imputed,Adjusted,MCAR,Weighted,6,0.00811022061760757,100
bmi,0.163819469301008,0.000134239536294489,0.327504699065721,Imputed w/ PRS,Adjusted,MCAR,Weighted,6,0.00697465616416152,100
bmi,0.0413383011290563,-0.132934636447746,0.215611238705859,Complete case,Unadjusted,MAR,Unweighted,6,,100
bmi,-0.0191756253084188,-0.211067581217047,0.172716330600209,Imputed,Unadjusted,MAR,Unweighted,6,,100
bmi,0.0399005923694548,-0.308951643603386,0.388752828342296,Imputed w/ PRS,Unadjusted,MAR,Unweighted,6,,100
bmi,0.0723486712333177,-0.0971386338340156,0.241835976300651,Complete case,Unadjusted,MAR,Weighted,6,0.00717934831757144,100
bmi,0.118096033555807,-0.0546053757810857,0.2907974428927,Imputed,Unadjusted,MAR,Weighted,6,0.00776417975022306,100
bmi,0.167646793782811,-0.0504358503638299,0.385729437929452,Imputed w/ PRS,Unadjusted,MAR,Weighted,6,0.0123807235474665,100
bmi,-0.00532288123575502,-0.18878345450182,0.17813769203031,Complete case,Adjusted,MAR,Unweighted,6,,100
bmi,-0.0257435334235799,-0.222413909111006,0.170926842263846,Imputed,Adjusted,MAR,Unweighted,6,,100
bmi,0.0261590289635119,-0.315402442550115,0.367720500477139,Imputed w/ PRS,Adjusted,MAR,Unweighted,6,,100
bmi,0.0271335385775764,-0.154820695324537,0.209087772479689,Complete case,Adjusted,MAR,Weighted,6,0.00825007796445722,100
bmi,0.086544643620213,-0.088902835703504,0.26199212294393,Imputed,Adjusted,MAR,Weighted,6,0.00801305426866037,100
bmi,0.126107372575358,-0.0882666914374135,0.34048143658813,Imputed w/ PRS,Adjusted,MAR,Weighted,6,0.0119632258124917,100
bmi,-0.00366096991202197,-0.208601481811066,0.201279541987022,Complete case,Unadjusted,MNAR,Unweighted,6,,100
bmi,-0.0768785310171414,-0.356662692408092,0.202905630373809,Imputed,Unadjusted,MNAR,Unweighted,6,,100
bmi,-0.034712869630565,-0.357512975219795,0.288087235958665,Imputed w/ PRS,Unadjusted,MNAR,Unweighted,6,,100
bmi,0.021757864944075,-0.164405162199281,0.207920892087431,Complete case,Unadjusted,MNAR,Weighted,6,0.00859048392262418,100
bmi,0.0633992595354339,-0.142091440792836,0.268889959863704,Imputed,Unadjusted,MNAR,Weighted,6,0.010992289620268,100
bmi,0.0842991566902321,-0.144647597346579,0.313245910727043,Imputed w/ PRS,Unadjusted,MNAR,Weighted,6,0.0136449767212449,100
bmi,-0.0781744017727498,-0.313951073050515,0.157602269505015,Complete case,Adjusted,MNAR,Unweighted,6,,100
bmi,-0.0773277764799326,-0.413831161386672,0.259175608426807,Imputed,Adjusted,MNAR,Unweighted,6,,100
bmi,-0.0312542065289058,-0.37825863270003,0.315750219642218,Imputed w/ PRS,Adjusted,MNAR,Unweighted,6,,100
bmi,-0.0180650548695559,-0.243202076767493,0.207071967028381,Complete case,Adjusted,MNAR,Weighted,6,0.0125098278497096,100
